count,from,to,timeframe,start,end
297,profesorottati,clubmalvin,133,2020-06-16 23:53:18,2020-06-17 14:47:05
298,malvinsports,clubmalvin,134,2020-06-16 23:53:39,2020-06-17 14:47:05
299,faouruguay,vicenteplatafao,135,2020-06-16 23:53:59,2020-06-17 14:47:05
300,faouruguay,faouruguay,135,2020-06-16 23:53:59,2020-06-17 14:47:05
301,lisickilitvin,crlitvin,136,2020-06-16 23:57:15,2020-06-17 14:47:05
302,aliciaalgar,vtvnoticiasuy,137,2020-06-17 00:13:52,2020-06-17 14:47:05
303,aliciaalgar,vtvuruguay,137,2020-06-17 00:13:52,2020-06-17 14:47:05
304,ernestosalas11,saludpublicard,138,2020-06-17 00:32:09,2020-06-17 14:47:05
305,ernestosalas11,sns_portugal,138,2020-06-17 00:32:09,2020-06-17 14:47:05
306,ernestosalas11,mspuruguay,138,2020-06-17 00:32:09,2020-06-17 14:47:05
307,ernestosalas11,presidenciard,138,2020-06-17 00:32:09,2020-06-17 14:47:05
308,wpb_vzla,jaarreaza,139,2020-06-17 00:39:36,2020-06-17 14:47:05
309,gtsuruguay,doloresolveira,140,2020-06-17 00:39:55,2020-06-17 14:47:05
310,danteuru2015,vtvnoticiasuy,141,2020-06-17 00:46:26,2020-06-17 14:47:05
311,danteuru2015,vtvuruguay,141,2020-06-17 00:46:26,2020-06-17 14:47:05
312,ernestosalas11,sns_portugal,142,2020-06-17 00:49:23,2020-06-17 14:47:05
